Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,2,19,1,0,3,0,1,0
0,7,93,1,0,5,0,5,0
0,10,187,1,1,2,0,2,0
0,8,307,0,0,0,0,0,0
0,7,424,0,1,0,0,1,0
0,9,505,0,1,0,0,1,0
0,10,558,0,1,0,0,0,0
0,13,596,0,1,0,0,0,0
2,14,593,0,0,0,0,0,0
6,14,603,1,0,0,0,0,0
4,14,560,1,1,0,0,0,0
11,14,564,2,2,1,0,0,0
7,16,544,1,0,0,0,0,0
18,16,550,2,0,0,0,2,0
9,19,540,1,0,0,0,2,0
11,19,552,1,0,0,0,2,0
8,17,545,0,0,0,0,2,0
10,17,555,1,0,0,0,4,0
5,17,542,1,0,0,1,3,0
8,20,559,0,0,0,1,3,0
4,19,548,0,0,0,0,3,0
12,19,556,1,0,0,1,4,0
7,18,529,1,0,1,1,3,0
12,20,534,1,0,2,2,3,0
11,22,511,2,0,2,2,2,0
16,23,519,3,0,3,2,2,0
7,22,520,2,0,1,2,1,0
9,24,539,2,0,1,2,2,0
0,23,554,0,0,0,0,0,0
0,23,575,0,0,0,0,0,0
0,21,595,1,0,0,0,0,0
0,22,607,1,0,0,0,0,0
0,0,609,0,0,0,0,0,0
0,0,616,1,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,642,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,633,4,0,0,0,0,0
0,0,625,4,0,0,0,0,0
0,0,626,8,0,1,0,0,0
0,0,625,1,0,0,0,0,0
0,0,633,2,1,0,0,0,0
2,1,619,0,0,0,0,0,0
3,1,622,0,0,0,0,0,0
10,1,591,1,0,0,0,0,0
15,2,593,1,0,0,0,2,0
11,2,570,0,0,0,0,3,0
17,4,572,1,0,0,0,5,0
8,3,560,0,1,0,1,2,0
15,6,571,0,1,0,2,3,0
11,7,557,0,1,0,2,5,0
14,9,566,1,1,0,2,5,0
13,8,535,0,0,0,2,2,0
8,8,421,0,0,1,1,2,0
12,7,516,1,0,0,2,2,0
5,10,473,4,0,0,2,2,0
8,10,510,2,0,1,1,6,0
5,12,441,0,0,1,3,5,0
